TradingDesk,PL
KP3,23303348.27894
KPI,3235876.4842950003
KGC,212727210.77539003
KGD,103418522.02089
KGE,23350368.67009
KGF,129764674.936475
KGG,5809415.24316
KGH,8485485.588065
KGI,1222031.9307
FLZ,66212032.05539
FIB,24795932.920064252
KIA,617046254.999336
600,617137892.9687052
TLO,75674968.13398
EGP,42425000.025455005
FBC,167562755.50348002
FDO,64397772.706965
HYC,2350689774.43294
FFK,489841477.0494
MG2,114797755.79241
FPI,187640526.6881
109,13352767.736205
IRF,168954523.486945
KIC,11079418.68929
PZE,19735041.534860004
COI,108826940.57625
KR2,12886336.713895
KRE,6594208192.25986
KSC,1491748718.40581
KCA,1866663711.8865552
KP5,1091226940.45104
KDI,339546173.86111003
URNC,9309506.66004
PKI,81013193.11833
TKI,56192750.707695
G3I,110440680.14766501
DKI,49535645.103235
FKI,56109025.19929
PRI,91648565.86140001
STI,82344118.65413
RKI,47356414.077575006
HKI,48408445.842915006
IKI,358955282.575845
PSN,77682406.7247
ING,62218562.367735006
DVI,88952041.79610501
MKI,80814409.30444
LGI,28016127.29966
SKI,50212563.113265
RIO,61614894.717845
SMI,80404066.15156
LMP,31871814.926965
PPC,88749951.77651
ZKI,56416651.41979
ROK,43891043.407970004
TOP,21017949.802315
GDI,78740136.06572
SP3,43492970.87178
LIS,44291304.709305
RCI,43999294.01128501
VIV,31433752.628200002
GFO,40020883.323445
PIR,67940347.687315
LMI,102003120.80086501
NMP,40590273.5164
BLU,134518033.80909503
CKI,55321985.473745
GGI,91895343.100785
CND,80009881.90055999
TGI,27249390.96576
MKT,163695675.70305002
AMG,66748960.759595
SOT,73855159.442825
ORI,32570843.845765002
FNX,26910799.94263
TOI,235381219.34767002
GBI,32795210.579515003
AGA,30811436.636825003
BAL,37755000.7541
MEK,21766000.104360003
ABA,15821655.398455001
SHI,40570295.354805
PMR,57192441.681425
LRM,24481188.85325
OLI,18591785.353875
CAL,72866828.899835
IVC,113075052.70798
MAR,44261402.941415004
IMS,16330977.15393
WWI,48813038.100375004
TRE,22336149.5436
TIW,17390179.76247
PEG,219227401.83240002
SJK,17901908.65305
TOR,16350609.780870002
RPI,20099290.75677
JOG,17909612.40516
FCK,26882455.698310003
BLF,17828632.473055
ALP,37099525.98516
KKI,9126346.658475
QKI,21617448.602005
NGI,17861158.838115
SAI,17858644.89383
ECK,17637467.23036
PIK,28405593.788840003
PKN,42820722.029975004
TMB,17521863.34786
SUE,29771843.355415
BEL,31966042.735634997
MCK,25582674.06652
ACI,17764725.87128
BIK,27454236.098795
ITA,47436185.745680004
ATS,32782201.08054
BMK,50738369.08552
MAJ,17611930.731935002
IPV,487388439.63867
URT,21680624.348304998
RNC,14191309.32444
LID,17550899.37423
SCD,17416265.308275
AMA,17526765.123875
MCF,34987556.99695
FGR,26192250.24616
GDO,11098973.593630001
LIB,17093403.761175003
FRL,13476963.31758
FCS,17078688.463255
FNM,21222892.83528
PVI,30894267.987445
RIM,21340763.315830003
DES,16794505.618955
P3K,16258992.204264998
APS,17003596.28962
NVA,16038648.650235003
FRP,16714331.990945002
ADV,16620832.619524999
XPT,16848153.677545
USP,23564433.536245003
CXG,25768702.914465003
DRO,16740032.538360002
IMP,16665035.897340002
MAN,15140325.553280002
JAC,20797865.303820003
MJK,16677316.8827
SER,20913863.687909998
RNI,33468649.510450006
CPH,16479366.49945
SHE,41692775.852075
GAL,39828990.364725
BCP,16810525.621385
DEL,41041603.046015
MDP,33406666.865455
MGK,16574595.7757
IND,12501845.319615
DBP,15817778.271040002
GIR,21687921.397395
EST,15884515.604575
MAW,24928200.00151
MON,16615840.78372
CRJ,20898295.723855
DUK,20742607.479515
AXI,25420395.836625002
KRA,75472238.74418
LDL,16776925.91231
FBY,26609809.53517
FQJ,29227015.481065
EVA,16670244.372165002
MKK,21188895.315465003
PLA,23100380.740645003
JRD,82358424.0417
PRE,20841603.10302
VPA,24959383.98866
TAB,21002576.085365
ANA,20971116.946635
SUM,25184639.602525
MAL,42015107.72305
CLA,33167374.711245004
FLG,38289151.520215
ALF,88672180.82049501
CAS,115808175.21711
PRF,16586038.196995001
VIC,32913995.386694998
EVI,41652578.334275
SCO,49567005.680205
HSK,8137698.394660001
LER,189647725.31453502
GRI,16398419.760665001
FSF,29437133.29492
CHR,42121237.8485
VVN,9868292.571515001
AGI,16462832.356929999
BOI,16267157.32825
GVT,32161489.636605002
OMI,18153076.761145
FBG,69577311.764355
ARM,16331038.330780001
