Emissor,RatingGrupo,TradingDesk,pl_emissor,PL
ENERGISA SA,Baa3,PDA,446958.744619421,1172652382.054455
COPEL  DISTRIBUICAO S/A,Baa3,348,14397.441731256182,9225719.601444999
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,CPI,200849.8186470571,54355074.65991
COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE,Baa4,CPI,662606.0968666299,54355074.65991
CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS,Baa3,KAT,658486.1286408831,3004467197.6176753
CEMIG DISTRIBUICAO S/A,Baa4,KCP,13462609.303327225,3424900701.5180855
SBF COMERCIO DE PRODUTOS ESPORTIVOS S.A.,Ba4,846,6732977.973667063,3130395619.174485
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Ba4,KAT,-2.469460014253855e-11,3004467197.6176753
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,134,12659205.475802768,7003331463.740895
AUTOPISTA REGIS BITTENCOURT S/A,Baa4,PAL,32859.08831709647,18720368.46087
SBF COMERCIO DE PRODUTOS ESPORTIVOS S.A.,Ba4,KOP,1376254.458587254,733760002.8074601
ENERGISA SA,Baa3,APP,3219287.6982833752,8430325498.580385
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,Baa3,CPI,2369685.14554663,54355074.65991
AES BRASIL OPERACOES S.A.,Baa4,APP,623402.5932990042,8430325498.580385
ECORODOVIAS CONCESSOES E SERVICOS S/A,Baa4,846,54867940.88614315,3130395619.174485
ELEKTRO REDES S.A.,Baa3,348,149.24829487360037,9225719.601444999
AES BRASIL OPERACOES S.A.,Baa4,KOP,1323691.2969628172,733760002.8074601
ENERGISA SA,Baa3,RFA,1171813.2191473325,6165720738.95119
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,Baa3,APP,456258.7332401236,8430325498.580385
RODOVIAS INTEGRADAS DO OESTE S/A,Baa4,348,7675.044467784896,9225719.601444999
COPEL  DISTRIBUICAO S/A,Baa3,RFA,877185.1308979371,6165720738.95119
INSPIRALI EDUCACAO S/A,Baa4,PEM,3685.318602566488,4500317.361375
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,Baa3,652,76698.92351797792,2496049914.0221553
ENGIE BRASIL ENERGIA SA,Baa1,KCP,59752.11806492625,3424900701.5180855
AES BRASIL OPERACOES S.A.,Baa4,RFA,81736.75515197017,6165720738.95119
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,Baa4,ID2,69119.8219023113,3488179932.21023
ENERGISA SA,Baa3,BVP,12647903.76295249,1191376868.3027952
ELEKTRO REDES S.A.,Baa3,RFA,87432.95382690677,6165720738.95119
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,IRF,8216404.464966863,168954523.486945
COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE,Baa4,846,14232170.642849667,3130395619.174485
ENERGISA SA,Baa3,PEM,109355.9300851046,4500317.361375
RODOVIAS INTEGRADAS DO OESTE S/A,Baa4,652,1863520.6302771252,2496049914.0221553
VLI MULTIMODAL S.A.,Baa4,RFA,202764.66104257776,6165720738.95119
RODOVIAS INTEGRADAS DO OESTE S/A,Baa4,846,12646229.135398328,3130395619.174485
COPEL  DISTRIBUICAO S/A,Baa3,KAT,1047935.844267495,3004467197.6176753
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,RFA,681238.4845265826,6165720738.95119
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A,Baa4,APO,433652.5461994162,2279627646.384785
COPEL  DISTRIBUICAO S/A,Baa3,134,67670509.77486074,7003331463.740895
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,Baa3,KCP,6020870.39045294,3424900701.5180855
MRS LOGISTICA S/A,Baa3,RFA,21174.37258479533,6165720738.95119
ELEKTRO REDES S.A.,Baa3,APP,80605.6251440893,8430325498.580385
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,652,62413.933432424674,2496049914.0221553
ENERGISA SA,Baa3,FRA,1318836.7617252525,78590201.440485
