ativo,fundo,fundo_restrito,book_macro,book_micro,flag,peso_book,alocacao_max_porcen,alocacao_min_porcen,alocacao_max,alocacao_min,PlCreditoPrivado,PL
CESE22,KAT,,Debenture_Fechada_HG,Debenture_Fechada_HG,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CTNS19,KAT,,Debenture_Fechada_HG,Debenture_Fechada_HG,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CTNS25,KAT,,Debenture_Fechada_HG,Debenture_Fechada_HG,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
EATEA1,KAT,,Debenture_Fechada_HG,Debenture_Fechada_HG,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
EQUA11,KAT,,Debenture_Fechada_HG,Debenture_Fechada_HG,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
OGDS11,KAT,,Debenture_Fechada_HG,Debenture_Fechada_HG,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
VDIE12,KAT,,Debenture_Fechada_HG,Debenture_Fechada_HG,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
VDIE22,KAT,,Debenture_Fechada_HG,Debenture_Fechada_HG,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
VLIM15,KAT,,Debenture_Fechada_HG,Debenture_Fechada_HG,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
ROTTERDAM FIAGRO DC SR SERIE 1,KAT,,Debenture_Fechada_HG,Debenture_Fechada_HG_FIDC,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CNLM16,KAT,,Debenture_Fechada_HG,Debenture_Fechada_HG_FIDC_CAR,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
INDIGO FIAGRO DCA EMISSAO 1 SERIE 1 SUB,KAT,,Debenture_Fechada_HY,Debenture_Fechada_HY_FIDC,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
FIDC SOMACRED CONSIGNADOS PUBLICO II SUBORD,KAT,,Debenture_Fechada_HY,Debenture_Fechada_HY_FIDC,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CRI BARI 1.45 22Nov2029,KAT,,Estruturado_HG,Estruturado_HG_25,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CRI 1.25 TRUE SECURITIZADORA SERIE 247 19DEC2029,KAT,,Estruturado_HG,Estruturado_HG_25,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CRI BARISEC 2.5% 20/11/2024,KAT,,Estruturado_HG,Estruturado_HG,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CRI HOTEL COPACABANA 2% EMISSÃO 263 SÉRIE 1 27MAR2029,KAT,,Estruturado_HG,Estruturado_HG_25,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CRI OPEASEC 2.15% EMISSAO 40 SERIE 3 SUB 19JUL2027,KAT,,Estruturado_HG,Estruturado_HG,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CRA MINERVA 5.4% EMISSAO 14 SERIE 2 15MAI2026,KAT,,Estruturado_HG,Estruturado_HG,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CRI ÂNIMA HOLDING S.A. 1.65% CDI EMISSÃO 76 SÉRIE 1 15DEC2027,KAT,,Estruturado_HG,Estruturado_HG,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CRI PULVERIZADO 2.6% EMISSÃO 126 SÉRIE 1 09FEB2029,KAT,,Estruturado_HG,Estruturado_HG,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
FIDC FINANCIAMENTO DE VEICULOS,KAT,PAL,Estruturado_HG,Estruturado_HG,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
FIDC Pravaler Senior,KAT,PAL,Estruturado_HG,Estruturado_HG,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CRI CONEDI 419 SERIE 2% 18/12/2024,KAT,,Estruturado_HY,Estruturado_HY,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CRI MRV EMISSAO 178 SERIE 1 DI 3.5% 15JUN2029,KAT,,Estruturado_HY,Estruturado_HY_25,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CRI SUPERFRIO 4.35 10Mar2027,KAT,,Estruturado_HY,Estruturado_HY,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CRA MONTE CARLO 7.5% EMISSÃO 86 SÉRIE 1 22FEB2029,KAT,,Estruturado_HY,Estruturado_HY,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CRA MONTE CARLO 7.5% EMISSÃO 87 SÉRIE 1 22FEB2029,KAT,,Estruturado_HY,Estruturado_HY,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CRA CORPORATIVO 6.7282% EMISSÃO 85 SÉRIE 3 28DEC2028,KAT,,Estruturado_HY,Estruturado_HY_25,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CRA CRESOL 2.95%  20SEP2029,KAT,,Estruturado_HY,Estruturado_HY,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
FIDC ANGÁ SABEMI CONSIGNADOS X SENIOR,KAT,PAL,Estruturado_HY,Estruturado_HY,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
FIDC ALION III CONSIGNADOS SENIOR,KAT,PAL,Estruturado_HY,Estruturado_HY_25,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CLOUDWALK BIG PICTURE IV FIDC,KAT,PAL,Estruturado_HY,Estruturado_HY_25,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
FIDC BULLA CARTÕES SR 3,KAT,PAL,Estruturado_HY,Estruturado_HY,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
FIDC Aeris Senior,KAT,PAL,Estruturado_HY,Estruturado_HY_25,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
FIDC SOMACRED CONSIGNADOS PUBLICO II SENIOR,KAT,PAL,Estruturado_HY,Estruturado_HY,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
FIDC Creditas Auto X - Senior Resp Ltda.,KAT,PAL,Estruturado_HY,Estruturado_HY,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
GREEN SOLFACIL III FIDC SENIOR,KAT,PAL,Estruturado_HY,Estruturado_HY,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
INDIGO FIAGRO DCA EMISSAO 1 SERIE 1 SENIOR,KAT,PAL,Estruturado_HY,Estruturado_HY,False,0.0,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
ITSA16,KAT,,HG,HG_ITAU,False,0.34812258,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
ENEV16,KAT,,MY,MY_BTG,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
ENEV32,KAT,,MY,MY_BTG,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
ENEV38,KAT,,MY,MY_BTG,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
ENEV48,KAT,,MY,MY_BTG,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
XPVS24,KAT,,HG,HG_XP,True,0.34812258,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF  15Dec2022 - 15Dec2032 2.5 XP LFSN2200FN1,KAT,,MY,MY_XP,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF  15Dec2022 - 15Dec2032 2.5 XP LFSN2200FN7,KAT,,MY,MY_XP,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF  15Dec2022 - 15Dec2032 2.5 XP LFSN2200FNO,KAT,,MY,MY_XP,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF  15Dec2022 - 15Dec2032 2.5 XP LFSN2200FNR,KAT,,MY,MY_XP,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF  15Dec2022 - 15Dec2032 2.5 XP LFSN2200FNS,KAT,,MY,MY_XP,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF  15Dec2022 - 15Dec2032 2.5 XP LFSN2200FNY,KAT,,MY,MY_XP,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF  15Dec2022 - 15Dec2032 2.5 XP LFSN2200FOM,KAT,,MY,MY_XP,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF 15Dec2022 - 15Dec2032 2.5 XP LFSN2200FNK,KAT,,MY,MY_XP,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF 15Dec2022 - 15Dec2032 2.5 XP LFSN2200FNM,KAT,,MY,MY_XP,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LFS 15Dec2022 - 15Dec2032 2.5  LFSN2200FOD,KAT,,MY,MY_XP,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LFS 16Dec2022 - 16Dec2032 2.5  LFSN2200FSK,KAT,,MY,MY_XP,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CTOL18,KAT,,MY,MY_SPE_FECHADA,False,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CRNP11,KAT,,MY,MY_SPE_FECHADA,False,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
CTOL28,KAT,,HY,HY_SPE_FECHADA,False,0.323779115,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 29Sep2023 09Oct2025 2.3 AGIBANK LF002307IJ6,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 15Dec2023 30Nov2026 2.4 AGIBANK LF002308HPL,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 15Dec2023 30Nov2026 2.4 AGIBANK LF002308HPM,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 15Dec2023 30Nov2026 2.4 AGIBANK LF002308HPN,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 15Dec2023 30Nov2026 2.4 AGIBANK LF002308HPO,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 15Dec2023 30Nov2026 2.4 AGIBANK LF002308HPP,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 15Dec2023 30Nov2026 2.4 AGIBANK LF002308HPQ,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 15Dec2023 30Nov2026 2.4 AGIBANK LF002308HPR,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 15Dec2023 30Nov2026 2.4 AGIBANK LF002308HPV,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 15Dec2023 30Nov2026 2.4 AGIBANK LF002308HPS,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 15Dec2023 30Nov2026 2.4 AGIBANK LF002308HPT,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 18Dec2023 03Dec2026 2.4 AGIBANK LF002308I16,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF0 29Apr2024 - 29Apr2027 2.05 AGIBANK LF002400BWI,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 17May2024 - 17May2027 1.95 AGIBANK LF002400DFI,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 17May2024 - 17May2027 1.95 AGIBANK LF002400DFO,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 17May2024 - 17May2027 1.95 AGIBANK LF002400DFP,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 17May2024 - 17May2027 1.95 AGIBANK LF002400DFQ,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 17May2024 - 17May2027 1.95 AGIBANK LF002400DFR,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 17May2024 - 17May2027 1.95 AGIBANK LF002400DFS,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 17May2024 - 17May2027 1.95 AGIBANK LF002400DFV,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 17May2024 - 17May2027 1.95 AGIBANK LF002400DFU,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 17May2024 - 17May2027 1.95 AGIBANK LF002400DFT,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 17May2024 - 17May2027 1.95 AGIBANK LF002400DFW,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 17May2024 - 17May2027 1.95 AGIBANK LF002400DFX,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
LF DI 17May2024 - 17May2027 1.95 AGIBANK LF002400DFZ,KAT,,MY,MY,True,0.176598305,0.06,0.039,180268031.85706052,117174220.70708933,53656478.13360982,3004467197.6176753
